cond,seed,step,kl_logged,genuine_correct,intermediate,leakage,format_valid
BASELINE,44,90,6.534207068398246e-05,0.47619047619047616,0.47619047619047616,0.0,1.0
BASELINE,44,95,4.4710017391480505e-05,0.5714285714285714,0.5238095238095238,0.0,1.0
BASELINE,44,100,9.314665066995076e-05,0.47619047619047616,0.47619047619047616,0.0,1.0
BASELINE,44,105,6.29390669928398e-05,0.5238095238095238,0.47619047619047616,0.0,1.0
BASELINE,44,110,7.241462935780874e-05,0.5714285714285714,0.5238095238095238,0.0,1.0
BASELINE,44,115,8.839322345011169e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,120,5.789680017187493e-05,0.5714285714285714,0.5238095238095238,0.0,1.0
BASELINE,44,125,6.0383302752597956e-05,0.5714285714285714,0.47619047619047616,0.0,1.0
BASELINE,44,130,7.413555431412533e-05,0.5238095238095238,0.47619047619047616,0.0,1.0
BASELINE,44,135,6.306372370090685e-05,0.5238095238095238,0.47619047619047616,0.0,1.0
BASELINE,44,140,7.09092678334855e-05,0.5238095238095238,0.47619047619047616,0.0,1.0
BASELINE,44,145,8.533917389286216e-05,0.5238095238095238,0.47619047619047616,0.0,1.0
BASELINE,44,150,7.549097153969342e-05,0.5238095238095238,0.47619047619047616,0.0,1.0
BASELINE,45,5,6.127004144218517e-05,1.0,1.0,0.0,1.0
BASELINE,45,10,4.321639289628365e-05,1.0,1.0,0.0,1.0
BASELINE,45,15,7.727422780590132e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,45,20,5.64527440474194e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,45,25,5.5042782605596585e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,45,30,5.520127342606429e-05,1.0,1.0,0.0,1.0
BASELINE,45,35,5.7704216942511266e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,45,40,6.230969211173942e-05,1.0,1.0,0.0,1.0
BASELINE,45,45,9.232227785105351e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,45,50,6.0476035287138075e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,55,4.667623034038115e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,60,5.2821555073023774e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,65,6.410418291125097e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,45,70,8.122473445837386e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,45,75,5.999985387461493e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,45,80,6.648741054959828e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,45,85,4.5196480186859844e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,45,90,6.261406906560296e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,45,95,4.3972085222776514e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,45,100,3.487116555334069e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,45,105,5.147606134414673e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,110,6.0657022913801484e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,115,5.1692336910491576e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,120,4.818269189854618e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,125,5.7827043292491e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,45,130,5.301710598359932e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,45,135,5.512436109711416e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,140,5.4827993153594434e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,145,4.513944804784842e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,45,150,5.032639546698192e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,42,5,8.13801889307797e-05,1.0,1.0,0.0,1.0
MAIN,42,10,4.4889896344102453e-05,1.0,1.0,0.0,1.0
MAIN,42,15,4.759784633279196e-05,1.0,1.0,0.0,1.0
MAIN,42,20,4.96485208714148e-05,1.0,1.0,0.0,1.0
MAIN,42,25,4.427804196893703e-05,1.0,1.0,0.0,1.0
MAIN,42,30,5.087570889372728e-05,1.0,1.0,0.0,1.0
MAIN,42,35,3.888851369993063e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,42,40,4.652802545024315e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,42,45,4.7412137064384297e-05,1.0,1.0,0.0,1.0
MAIN,42,50,4.599923613568535e-05,1.0,1.0,0.0,1.0
MAIN,42,55,4.231069260640652e-05,1.0,1.0,0.0,1.0
MAIN,42,60,3.6707093840959715e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,42,65,4.5233718083181884e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,42,70,5.427464748208877e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,42,75,5.807554134662496e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,42,80,3.655842556327116e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,42,85,3.979810389864724e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,42,90,4.934271055390127e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,42,95,4.5456935367838014e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,42,100,4.572410898617818e-05,1.0,1.0,0.0,1.0
